1		2		6		7		15		16		28		29		45		46		66		67		91		92		120		121		153		154		190		191		231		232		276		277		325		326		378		379		435		436		496		497		561		562		630		631		703		704		780		781		861		862		946		947		1035		1036		1128		1129		1225		1226		1326		1327		1431		1432		1540		1541		1653		1654		1770		1771		1891		0		0		0		
3		5		8		14		17		27		30		44		47		65		68		90		93		119		122		152		155		189		192		230		233		275		278		324		327		377		380		434		437		495		498		560		563		629		632		702		705		779		782		860		863		945		948		1034		1037		1127		1130		1224		1227		1325		1328		1430		1433		1539		1542		1652		1655		1769		1772		1890		1892		0		0		0		
4		9		13		18		26		31		43		48		64		69		89		94		118		123		151		156		188		193		229		234		274		279		323		328		376		381		433		438		494		499		559		564		628		633		701		706		778		783		859		864		944		949		1033		1038		1126		1131		1223		1228		1324		1329		1429		1434		1538		1543		1651		1656		1768		1773		1889		1893		2010		0		0		0		
10		12		19		25		32		42		49		63		70		88		95		117		124		150		157		187		194		228		235		273		280		322		329		375		382		432		439		493		500		558		565		627		634		700		707		777		784		858		865		943		950		1032		1039		1125		1132		1222		1229		1323		1330		1428		1435		1537		1544		1650		1657		1767		1774		1888		1894		2009		2011		0		0		0		
11		20		24		33		41		50		62		71		87		96		116		125		149		158		186		195		227		236		272		281		321		330		374		383		431		440		492		501		557		566		626		635		699		708		776		785		857		866		942		951		1031		1040		1124		1133		1221		1230		1322		1331		1427		1436		1536		1545		1649		1658		1766		1775		1887		1895		2008		2012		2125		0		0		0		
21		23		34		40		51		61		72		86		97		115		126		148		159		185		196		226		237		271		282		320		331		373		384		430		441		491		502		556		567		625		636		698		709		775		786		856		867		941		952		1030		1041		1123		1134		1220		1231		1321		1332		1426		1437		1535		1546		1648		1659		1765		1776		1886		1896		2007		2013		2124		2126		0		0		0		
22		35		39		52		60		73		85		98		114		127		147		160		184		197		225		238		270		283		319		332		372		385		429		442		490		503		555		568		624		637		697		710		774		787		855		868		940		953		1029		1042		1122		1135		1219		1232		1320		1333		1425		1438		1534		1547		1647		1660		1764		1777		1885		1897		2006		2014		2123		2127		2236		0		0		0		
36		38		53		59		74		84		99		113		128		146		161		183		198		224		239		269		284		318		333		371		386		428		443		489		504		554		569		623		638		696		711		773		788		854		869		939		954		1028		1043		1121		1136		1218		1233		1319		1334		1424		1439		1533		1548		1646		1661		1763		1778		1884		1898		2005		2015		2122		2128		2235		2237		0		0		0		
37		54		58		75		83		100		112		129		145		162		182		199		223		240		268		285		317		334		370		387		427		444		488		505		553		570		622		639		695		712		772		789		853		870		938		955		1027		1044		1120		1137		1217		1234		1318		1335		1423		1440		1532		1549		1645		1662		1762		1779		1883		1899		2004		2016		2121		2129		2234		2238		2343		0		0		0		
55		57		76		82		101		111		130		144		163		181		200		222		241		267		286		316		335		369		388		426		445		487		506		552		571		621		640		694		713		771		790		852		871		937		956		1026		1045		1119		1138		1216		1235		1317		1336		1422		1441		1531		1550		1644		1663		1761		1780		1882		1900		2003		2017		2120		2130		2233		2239		2342		2344		0		0		0		
