1		2		6		7		15		16		28		29		45		46		66		67		91		92		120		121		153		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
3		5		8		14		17		27		30		44		47		65		68		90		93		119		122		152		154		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
4		9		13		18		26		31		43		48		64		69		89		94		118		123		151		155		187		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
10		12		19		25		32		42		49		63		70		88		95		117		124		150		156		186		188		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
11		20		24		33		41		50		62		71		87		96		116		125		149		157		185		189		221		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
21		23		34		40		51		61		72		86		97		115		126		148		158		184		190		220		222		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
22		35		39		52		60		73		85		98		114		127		147		159		183		191		219		223		255		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
36		38		53		59		74		84		99		113		128		146		160		182		192		218		224		254		256		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
37		54		58		75		83		100		112		129		145		161		181		193		217		225		253		257		289		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
55		57		76		82		101		111		130		144		162		180		194		216		226		252		258		288		290		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
56		77		81		102		110		131		143		163		179		195		215		227		251		259		287		291		320		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
78		80		103		109		132		142		164		178		196		214		228		250		260		286		292		319		321		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
79		104		108		133		141		165		177		197		213		229		249		261		285		293		318		322		347		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
105		107		134		140		166		176		198		212		230		248		262		284		294		317		323		346		348		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
106		135		139		167		175		199		211		231		247		263		283		295		316		324		345		349		370		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
136		138		168		174		200		210		232		246		264		282		296		315		325		344		350		369		371		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
137		169		173		201		209		233		245		265		281		297		314		326		343		351		368		372		389		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
170		172		202		208		234		244		266		280		298		313		327		342		352		367		373		388		390		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
171		203		207		235		243		267		279		299		312		328		341		353		366		374		387		391		404		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
204		206		236		242		268		278		300		311		329		340		354		365		375		386		392		403		405		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
205		237		241		269		277		301		310		330		339		355		364		376		385		393		402		406		415		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
238		240		270		276		302		309		331		338		356		363		377		384		394		401		407		414		416		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
239		271		275		303		308		332		337		357		362		378		383		395		400		408		413		417		422		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
272		274		304		307		333		336		358		361		379		382		396		399		409		412		418		421		423		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
273		305		306		334		335		359		360		380		381		397		398		410		411		419		420		424		425		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		

